No.;Time;Source;Destination;Protocol;Length;Info
4547;60.337006;192.168.43.84;112.215.207.44;UDP;78;60544  >  443 Len=36
4548;60.339139;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4549;60.339139;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4550;60.339139;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4551;60.339139;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4552;60.339139;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4553;60.339781;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4554;60.340686;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4555;60.340686;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4556;60.340686;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
